date_detection,statut,role_cible,intitule,entreprise,lieu,emails_rh,source,lien,id
2026-09-15 12:09,NOUVEAU,Kaufmann fuer Buromanagement,Ausbildung Industriekaufmann/-frau (m/w/d)bei von Schaewen GmbH45128 Essen 01.09.20263 Plätze,Von Schaewen Gmbh,Deutschland (Allemagne),n.strempel@von-schaewen.de,Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-industriekaufmann-frau-m-w-d-bei-von-schaewen-gmbh-in-essen-4f188c95-5fd6-40c9-8e38-7a5f19142d3d/,aus_82081eff
2026-09-15 12:09,NOUVEAU,Kaufmann fuer Buromanagement,Ausbildung Drogist (w/m/d) 2026 in 45138 Essenbei dm-drogerie markt GmbH + Co. KG45138 Essen + 1786 weiterenach Absprache,Dm Drogerie Markt Gmbh Co Kg,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-drogist-w-m-d-2026-in-45138-essen-bei-dm-drogerie-markt-gmbh-co-kg-in-essen-205c6678-0730-4c59-a17d-a937c65cb892/,aus_66183197
2026-09-15 12:09,NOUVEAU,Kaufmann fuer Buromanagement,Aus- und Fortbildung zum Handelsfachwirt (m/w/d)bei KiK Textilien und Non-Food GmbH45355 Essen + 887 weiterenach Absprache890 Plätze,Kik Textilien Und Non Food Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/aus-und-fortbildung-zum-handelsfachwirt-m-w-d-bei-kik-textilien-und-non-food-gmbh-in-essen-a07f3891-446d-4c79-adce-6930b535d4df/,aus_138857cc
2026-09-15 12:09,NOUVEAU,Kaufmann fuer Buromanagement,Ausbildung zum Hörakustiker (m/w/d) - Start im Februar & August/September 2027bei Amplifon Deutschland GmbH45329 Essen + 67 weiterenach Absprache70 Plätze,Amplifon Deutschland Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-hoerakustiker-m-w-d-start-im-februar-august-september-2026-bei-amplifon-deutschland-gmbh-in-essen-b023eaa2-74f0-441e-904d-b5590fd6b5b4/,aus_7c24f236
2026-09-15 12:09,NOUVEAU,Kaufmann fuer Buromanagement,Ausbildung Bäckereifachverkäufer/in (m/w/d)bei Bäckerei Horsthemke45127 Essen + 39 weiterenach Absprache40 Plätze,Baeckerei Horsthemke,Deutschland (Allemagne),ausbildung@baeckerei-horsthemke.de,Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-baeckereifachverkaeufer-in-m-w-d-bei-baeckerei-horsthemke-in-essen-914241a1-9fa1-4235-a286-4affd3e9d1ed/,aus_4d2a2154
2026-09-15 12:09,NOUVEAU,Kaufmann fuer Buromanagement,KompetenzCentrum Pflege (1 Jahr)bei apm45127 Essen + 28 weitere01.10.202668 Plätze,Apm,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/kompetenzcentrum-pflege-1-jahr-bei-apm-in-essen-d1f4021f-4f92-41da-86fa-919185b944b3/,aus_3a91c99c
2026-09-15 12:10,NOUVEAU,Kaufmann fuer Buromanagement,BA-Student (m/w/d) Fitnessökonomie/Sportökonomie/Gesundheitsmanagement (m/w/d)bei Kieser Training GmbH45127 Essen + 9 weiterenach Absprache10 Plätze,Kieser Training Gmbh,Deutschland (Allemagne),marcel.haasters@kieser-training.com / marcel.haasters@kieser.com,Ausbildung.de,https://www.ausbildung.de/stellen/ba-student-m-w-d-fitnessoekonomie-sportoekonomie-gesundheitsmanagement-m-w-d-bei-kieser-training-gmbh-in-essen-e5e3414e-9dad-442c-9e6c-a1714adc0b89/,aus_f317833a
2026-09-15 12:10,NOUVEAU,Kaufmann fuer Buromanagement,Dualer Student (m/w/d) BWL - Schwerpunkt Steuerrechtbei ETL Gruppe45128 Essen + 22 weitere01.10.202625 Plätze,Etl Gruppe,Deutschland (Allemagne),hr-team@etl.de,Ausbildung.de,https://www.ausbildung.de/stellen/dualer-student-m-w-d-bwl-schwerpunkt-steuerrecht-bei-etl-gruppe-in-essen-5a46d218-d0b9-4fe6-a446-6e8513896364/,aus_e1e8cd36
2026-09-15 12:10,NOUVEAU,Kaufmann fuer Buromanagement,Duales Studium BWL Hotelmanagement | Businesshotel mit Tagungs- und Veranstaltungsbereichbei iba Internationale Berufsakademie45138 Essen + 236 weitere01.10.2026327 Plätze,Iba Internationale Berufsakademie,Deutschland (Allemagne),mira.emberovics@ibadual.com,Ausbildung.de,https://www.ausbildung.de/stellen/duales-studium-bwl-hotelmanagement-businesshotel-mit-tagungs-und-veranstaltungsbereich-bei-iba-internationale-berufsakademie-in-essen-78fa1b86-2724-40ee-907a-bd923b8150a3/,aus_788f2678
2026-09-15 12:10,NOUVEAU,Kaufmann fuer Buromanagement,B.Sc. Wirtschaftsinformatik mit verschiedenen Vertiefungsmöglichkeiten (m/w/d)bei Atos Information Technology GmbH45131 Essen + 8 weitere01.09.202614 Plätze,Atos Information Technology Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/b-sc-wirtschaftsinformatik-m-w-d-mit-verschiedenen-vertiefungsmoeglichkeiten-bei-atos-information-technology-gmbh-in-essen-adbada1e-db41-45a7-a775-4e00337a9d8e/,aus_0bfab492
2026-09-15 12:13,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Ausbildung Lacklaborant/inbei Sun Chemical Colors & Effects GmbH90451 Nürnberg 01.09.20261 Platz,Sun Chemical Colors Effects Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-lacklaborant-in-m-w-d-bei-sun-chemical-colors-effects-gmbh-in-nuernberg-e3e00abf-db30-4197-a699-442b530d3653/,aus_69db70a8
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Kombination Ausbildung Bankkauffrau/ Bankkaufmann (w/m/d) und Bachelor Studiengang - 2027bei Sparkasse Nürnberg90402 Nürnberg 01.09.20263 Plätze,Sparkasse Nuernberg,Deutschland (Allemagne),lke.biederer@sparkasse-nuernberg.de,Ausbildung.de,https://www.ausbildung.de/stellen/duales-studium-bwl-m-w-d-bei-sparkasse-nuernberg-in-nuernberg-a0c3681b-4662-429c-ab1a-53e0ab6ff1d4/,aus_dc0a5587
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Ausbildung zum Kaufmann im Einzelhandel (m/w/d) 2026bei Kulinarikwelten E center Stengel90403 Nürnberg 01.09.20261 Platz,Edeka Verbund,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-kaufmann-im-einzelhandel-m-w-d-2026-bei-edeka-verbund-in-nuernberg-7759b24b-8033-4fd1-8629-9d0a0b57d5e5/,aus_11481752
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Ausbildung zum Verkäufer (m/w/d) 2026bei Kulinarikwelten E center Stengel90403 Nürnberg + 1 weiterer01.09.20262 Plätze,Edeka Verbund,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-verkaeufer-m-w-d-2026-bei-edeka-verbund-in-nuernberg-c780733d-9263-4cab-9b88-4440bd44be3a/,aus_8cd10a60
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Ausbildung im Abiturientenprogramm zum Handelsfachwirt (IHK) (m/w/d) 2026bei EDEKA im Luitpoldviertel90478 Nürnberg 01.09.20262 Plätze,Edeka Verbund,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-im-abiturientenprogramm-zum-handelsfachwirt-ihk-m-w-d-2026-bei-edeka-verbund-in-nuernberg-2b7941bb-29c3-4c8a-bdc9-61018246ccff/,aus_7b232575
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,"Ausbildung als Kaufmann/-frau für Groß- und Außenhandelsmanagement (m/w/d), Schwerpunkt Großhandelbei STAPPERT Deutschland GmbH90443 Nürnberg + 2 weitere01.09.20266 Plätze",Stappert Deutschland Gmbh,Deutschland (Allemagne),bewerbung@stappert.biz,Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-als-kaufmann-frau-fuer-gross-und-aussenhandelsmanagement-m-w-d-schwerpunkt-grosshandel-bei-stappert-deutschland-gmbh-in-nuernberg-06e9339c-b924-4560-a192-0e7e6444c6cb/,aus_e06ec447
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Ausbildung zum Fachverkäufer im Lebensmittelhandwerk (Fleischerei) (m/w/d) 2026bei EDEKA Gass90408 Nürnberg 01.09.20261 Platz,Edeka Verbund,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-fachverkaeufer-im-lebensmittelhandwerk-fleischerei-m-w-d-2026-bei-edeka-verbund-in-nuernberg-6bb9ff06-0700-4fb9-b8b8-dd13aa89a24b/,aus_e34168fa
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Ausbildung Kauffrau/-mann für Büromanagement (m/w/d)bei VAG Verkehrs-Aktiengesellschaft90429 Nürnberg 01.09.20262 Plätze,Vag Verkehrs Aktiengesellschaft,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-kauffrau-mann-fuer-bueromanagement-m-w-d-bei-vag-verkehrs-aktiengesellschaft-in-nuernberg-3bbc7bf5-d578-4ec3-9e43-bc5eb11993da/,aus_55a4fa8c
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Ausbildung zum Kaufmann im Einzelhandel mit Zusatzqualifikation Frischespezialist (m/w/d) 2026bei EDEKA im Luitpoldviertel90478 Nürnberg 01.09.20266 Plätze,Edeka Verbund,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-kaufmann-im-einzelhandel-mit-zusatzqualifikation-frischespezialist-m-w-d-2026-bei-edeka-verbund-in-nuernberg-2ac4a6a1-9089-4298-a73b-7e8dc2fbc298/,aus_9f98e29e
2026-09-15 12:14,NOUVEAU,Kauffrau fuer Tourismus und Freizeit,Ausbildung zum Fachverkäufer im Lebensmittelhandwerk (Fleischerei) (m/w/d) 2026bei EDEKA im Luitpoldviertel90478 Nürnberg 01.09.20262 Plätze,Edeka Verbund,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-fachverkaeufer-im-lebensmittelhandwerk-fleischerei-m-w-d-2026-bei-edeka-verbund-in-nuernberg-99ffb6d2-25a9-4864-9fb0-284c2b155947/,aus_83a7b3ce
2026-09-15 12:11,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,Ausbildung Karosserie- und Fahrzeugbaumechaniker/in (m/w/d)bei Hugo Pfohe GmbH23554 Lübeck 01.09.20261 Platz Beliebter Ausbildungsbetrieb,Hugo Pfohe Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-karosserie-und-fahrzeugbaumechaniker-in-m-w-d-bei-hugo-pfohe-gmbh-in-luebeck-102843ae-1832-46c3-81b6-9d49c0fd1fc0/,aus_a59edfe7
2026-09-15 12:11,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,Ausbildung zum Verkäufer / Kaufmann im Einzelhandel zum 01.08.2027 (m/w/d)bei ALDI Nord23556 Lübeck + 666 weiterenach Absprache782 Plätze,Aldi Nord,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-verkaeufer-kaufmann-im-einzelhandel-zum-01-08-2027-m-w-d-bei-aldi-nord-in-luebeck-ba713c4a-52b5-485b-bdcc-fe9c11629ac2/,aus_538bf6c0
2026-09-15 12:11,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,Ausbildung zum Hörakustiker (m/w/d)bei GEERS (Sonova Retail Deutschland GmbH)23564 Lübeck + 337 weiterenach Absprache338 Plätze,Geers Sonova Retail Deutschland Gmbh,Deutschland (Allemagne),recruiting.de@sonova.com,Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-hoerakustiker-m-w-d-bei-geers-sonova-retail-deutschland-gmbh-in-luebeck-f99df956-b4ca-459f-9b30-9f934eb854e4/,aus_0c09c054
2026-09-15 12:12,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,Aus- und Fortbildung zum Handelsfachwirt (m/w/d)bei KiK Textilien und Non-Food GmbH23554 Lübeck + 887 weiterenach Absprache890 Plätze,Kik Textilien Und Non Food Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/aus-und-fortbildung-zum-handelsfachwirt-m-w-d-bei-kik-textilien-und-non-food-gmbh-in-luebeck-fd0be969-4b7e-468d-b07b-7b0978e6b104/,aus_87a0b986
2026-09-15 12:12,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,"Ausbildung zum Kaufmann im Einzelhandel (m/w/d), Lübeckbei Deichmann SE23566 Lübeck + 289 weitere01.09.2026307 Plätze",Deichmann Se,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-kaufmann-im-einzelhandel-m-w-d-luebeck-bei-deichmann-se-in-luebeck-4c499f30-2d9c-4afc-a37f-64af30008ee0/,aus_892e0029
2026-09-15 12:12,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,"Ausbildung zum Verkäufer (m/w/d), Lübeckbei Deichmann SE23566 Lübeck + 286 weitere01.09.2026311 Plätze",Deichmann Se,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-verkaeufer-m-w-d-luebeck-bei-deichmann-se-in-luebeck-49120d23-7706-47da-af85-5ea49e995a74/,aus_ee48aa52
2026-09-15 12:12,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,Ausbildung zum Kaufmann im Einzelhandel (m/w/d)bei KiK Textilien und Non-Food GmbH23554 Lübeck + 525 weiterenach Absprache527 Plätze,Kik Textilien Und Non Food Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-kaufmann-im-einzelhandel-m-w-d-bei-kik-textilien-und-non-food-gmbh-in-luebeck-603d7e85-bae6-4283-9d61-d4e72a9d1fcb/,aus_c0c6a320
2026-09-15 12:12,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,Ausbildung zum Verkäufer (m/w/d)bei KiK Textilien und Non-Food GmbH23554 Lübeck + 683 weiterenach Absprache686 Plätze,Kik Textilien Und Non Food Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-verkaeufer-m-w-d-bei-kik-textilien-und-non-food-gmbh-in-luebeck-cc9a16fb-c41a-4afe-b473-e4f6f1fb1ccb/,aus_969c54bd
2026-09-15 12:12,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,Ausbildung Schornsteinfeger/in (m/w/d)bei LIV Schornsteinfeger Schleswig-HolsteinLübeck + 14 weitere01.09.202615 Plätze,Liv Schornsteinfeger Schleswig Holstein,Deutschland (Allemagne),info@schornsteinfeger-sh.de,Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-schornsteinfeger-in-m-w-d-bei-liv-schornsteinfeger-schleswig-holstein-in-luebeck-83494b96-f360-40db-9453-e0bd0b7a551f/,aus_16aece70
2026-09-15 12:12,NOUVEAU,Kauffrau im Gross- und Aussenhandelsmanagement,Ausbildung zum Verkäufer/inbei Norma Lebensmittelfilialbetrieb Stiftung & Co. KG23562 Lübeck + 1337 weiterenach Absprache1338 Plätze,Norma Lebensmittelfilialbetrieb Stiftung Co Kg,Deutschland (Allemagne),personalentwicklung@norma-online.de,Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-zum-verkaeufer-in-bei-norma-lebensmittelfilialbetrieb-stiftung-co-kg-in-luebeck-6deb1f45-87c4-457b-9ea6-5af4259e4e7a/,aus_ca58ed31
2026-09-15 12:12,NOUVEAU,Kauffrau fuer Spedition und Logistikdienstleistung,Ausbildung Pflegefachfrau/Pflegefachmann (3 Jahre)bei apm47058 Duisburg + 35 weitere01.09.202675 Plätze,Apm,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-pflegefachfrau-pflegefachmann-bei-apm-in-duisburg-dc1dfa21-5c7d-4cd6-a9f0-75b79e0c9db0/,aus_db0568f5
2026-09-15 12:12,NOUVEAU,Kauffrau fuer Spedition und Logistikdienstleistung,Aus- und Fortbildung zum Handelsfachwirt (m/w/d)bei KiK Textilien und Non-Food GmbH47051 Duisburg + 887 weiterenach Absprache890 Plätze,Kik Textilien Und Non Food Gmbh,Deutschland (Allemagne),Non détecté (Postuler via lien),Ausbildung.de,https://www.ausbildung.de/stellen/aus-und-fortbildung-zum-handelsfachwirt-m-w-d-bei-kik-textilien-und-non-food-gmbh-in-duisburg-0964b392-db3a-4818-beb8-3a29d9d1c425/,aus_1aa9b1b1
2026-09-15 12:13,NOUVEAU,Kauffrau fuer Spedition und Logistikdienstleistung,Ausbildung Augenoptiker/in (m/w/d)bei Smile Optic47051 Duisburg + 11 weiterenach Absprache12 Plätze,Smile Optic,Deutschland (Allemagne),info@smileoptic.de,Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-augenoptiker-in-m-w-d-bei-smile-optic-in-duisburg-3f1a7c0b-bed1-438b-af8b-5e30c1d8ca9d/,aus_5902010f
2026-09-15 12:13,NOUVEAU,Kauffrau fuer Spedition und Logistikdienstleistung,Ausbildung Bäckereifachverkäufer/in (m/w/d)bei Bäckerei Horsthemke47051 Duisburg + 39 weiterenach Absprache40 Plätze,Baeckerei Horsthemke,Deutschland (Allemagne),ausbildung@baeckerei-horsthemke.de,Ausbildung.de,https://www.ausbildung.de/stellen/ausbildung-baeckereifachverkaeufer-in-m-w-d-bei-baeckerei-horsthemke-in-duisburg-ffc93f85-39f2-4aea-819f-ce8111a8f932/,aus_2bdb6d88
2026-09-15 12:13,NOUVEAU,Kauffrau fuer Spedition und Logistikdienstleistung,Duales Studium Fitnesstraining (m/w/d)bei wellyou Verwaltungsgesellschaft mbH47239 Duisburg + 19 weiterenach Absprache20 Plätze,Wellyou Verwaltungsgesellschaft Mbh,Deutschland (Allemagne),bewerbung@wellyou.eu,Ausbildung.de,https://www.ausbildung.de/stellen/duales-studium-fitnesstraining-m-w-d-bei-wellyou-verwaltungsgesellschaft-mbh-in-duisburg-50cc0d3c-0fe5-4ec5-a299-238de0c3273d/,aus_fcf8713e
